customer_id,name,email,country_code,tier,lifetime_value_eur,signup_date,is_active
CUST-1075,Javier Lopez,cust1075@example.com,FR,bronze,19868.7,2020-02-24,True
CUST-1076,Karla Romero,cust1076@example.com,AR,gold,23399.89,2023-03-27,False
CUST-1077,Olivia Diaz,cust1077@example.com,PT,bronze,662.74,2022-05-26,True
CUST-1078,Hugo Torres,cust1078@example.com,ES,silver,15356.46,2020-04-25,True
CUST-1079,Gabriela Garcia,cust1079@example.com,GB,bronze,5047.81,2020-09-19,True
CUST-1080,Gabriela Romero,cust1080@example.com,FR,bronze,2578.46,2022-10-09,True
CUST-1081,Elena Romero,cust1081@example.com,US,silver,15631.45,2024-01-24,True
CUST-1082,Bruno Castro,cust1082@example.com,ES,bronze,3344.16,2023-03-31,True
CUST-1083,Olivia Lopez,cust1083@example.com,BR,platinum,21832.68,2022-10-03,True
CUST-1084,Federico Vargas,cust1084@example.com,MX,platinum,7509.47,2021-03-23,True
CUST-1085,Hugo Diaz,cust1085@example.com,PT,silver,23729.31,2023-04-17,True
CUST-1086,Luis Garcia,cust1086@example.com,IT,bronze,17170.02,2020-03-22,True
CUST-1087,Hugo Torres,cust1087@example.com,US,bronze,20241.77,2023-04-28,True
CUST-1088,Gabriela Garcia,cust1088@example.com,US,silver,8163.4,2020-02-27,True
CUST-1089,Hugo Garcia,cust1089@example.com,BR,gold,7192.4,2020-03-29,False
CUST-1090,Hugo Ruiz,cust1090@example.com,DE,platinum,7792.65,2023-04-14,True
CUST-1091,Olivia Diaz,cust1091@example.com,BR,silver,12536.15,2023-04-27,True
CUST-1092,Ana Martinez,cust1092@example.com,GB,bronze,5900.49,2020-01-30,False
CUST-1093,Bruno Torres,cust1093@example.com,AR,bronze,3533.35,2023-02-03,True
CUST-1094,Javier Lopez,cust1094@example.com,BR,silver,19974.64,2021-05-07,True
CUST-1095,Olivia Lopez,cust1095@example.com,MX,bronze,2604.59,2022-01-24,True
CUST-1096,Federico Martinez,cust1096@example.com,US,bronze,10549.56,2023-09-02,True
CUST-1097,Luis Castro,cust1097@example.com,US,bronze,21081.96,2022-03-25,True
CUST-1098,Diego Garcia,cust1098@example.com,BR,silver,22171.61,2022-09-09,False
CUST-1099,Nicolas Ruiz,cust1099@example.com,GB,silver,24442.87,2021-01-16,False
CUST-1100,Karla Torres,cust1100@example.com,MX,platinum,4319.69,2022-04-12,True
CUST-1101,Nicolas Sanchez,cust1101@example.com,IT,bronze,7047.89,2021-09-05,True
CUST-1102,Karla Vargas,cust1102@example.com,BR,bronze,13763.44,2020-05-09,True
CUST-1103,Diego Castro,cust1103@example.com,DE,bronze,18792.96,2023-08-28,True
CUST-1104,Karla Torres,cust1104@example.com,BR,platinum,14800.98,2023-08-18,True
CUST-1105,Luis Martinez,cust1105@example.com,BR,bronze,8788.21,2022-11-02,False
CUST-1106,Gabriela Diaz,cust1106@example.com,GB,bronze,11881.4,2022-11-23,True
CUST-1107,Karla Romero,cust1107@example.com,FR,bronze,3337.8,2021-12-19,False
CUST-1108,Gabriela Sanchez,cust1108@example.com,MX,platinum,7327.92,2022-05-16,True
CUST-1109,Diego Sanchez,cust1109@example.com,ES,bronze,23968.25,2023-10-30,True
CUST-1110,Karla Castro,cust1110@example.com,MX,gold,22537.17,2021-01-22,False
CUST-1111,Ines Garcia,cust1111@example.com,PT,bronze,16834.98,2023-04-14,True
CUST-1112,Marta Lopez,cust1112@example.com,FR,silver,20244.79,2023-11-14,True
CUST-1113,Ines Torres,cust1113@example.com,IT,bronze,4456.92,2024-01-31,False
CUST-1114,Marta Romero,cust1114@example.com,MX,platinum,14438.18,2022-06-10,True
CUST-1115,Bruno Vargas,cust1115@example.com,DE,silver,5234.97,2023-02-09,True
CUST-1116,Hugo Castro,cust1116@example.com,US,bronze,18803.22,2022-10-05,False
CUST-1117,Marta Sanchez,cust1117@example.com,GB,gold,20747.92,2021-08-20,True
CUST-1118,Karla Lopez,cust1118@example.com,US,bronze,9764.18,2022-02-06,True
CUST-1119,Nicolas Vargas,cust1119@example.com,ES,platinum,13591.02,2024-01-06,True
